ID	LAT	LNG	BANCO	RED	DOM_ORIG	DOM_GEO	TERMINALES	WEB	ACTUALIZAC	DOM_NORMA	BARRIO	COMUNA	CODIGO_POSTAL	CODIGO_POSTAL_ARGENTINO
471	-34.5620287016	-58.4664544447	BBVA-BANCO FRANCES	BANELCO	AV.MONROE 3099	3099 MONROE	1	HTTP://WWW.BANELCO.COM/	MAR-15	MONROE 3099	BELGRANO	COMUNA 13	1428	C1428BLY
472	-34.646907744	-58.3733009083	HSBC ARGENTINA	BANELCO	AV.MONTES DE OCA 1701	1701 MONTES DE OCA, MANUEL	1	HTTP://WWW.BANELCO.COM/	MAR-15	MONTES DE OCA, MANUEL AV. 1701	BARRACAS	COMUNA 4	1270	C1270ABE
473	-34.6386115302	-58.3748116591	BANCO SANTANDER RIO	BANELCO	AV.MONTES DE OCA 895	895 MONTES DE OCA, MANUEL	2	HTTP://WWW.BANELCO.COM/	MAR-15	MONTES DE OCA, MANUEL AV. 895	BARRACAS	COMUNA 4	1270	C1270AAI
475	-34.5715476651	-58.3954755626	BBVA-BANCO FRANCES	BANELCO	AV.RAFAEL OBLIGADO 1221	1221 OBLIGADO RAFAEL, AV.COSTANERA	1	HTTP://WWW.BANELCO.COM/	MAR-15	OBLIGADO RAFAEL, AV.COSTANERA 1221	PALERMO	COMUNA 14	1425	
476	-34.6391413008	-58.5207165128	CITIBANK	BANELCO	AV.RIVADAVIA 11086	11086 RIVADAVIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 11086	LINIERS	COMUNA 9	1408	C1408AAX
477	-34.6390634576	-58.5223882271	HSBC ARGENTINA	BANELCO	AV.RIVADAVIA 11200	11200 RIVADAVIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 11200	LINIERS	COMUNA 9	1408	C1408AAY
478	-34.6100381894	-58.4012930031	HSBC ARGENTINA	BANELCO	AV.RIVADAVIA 2470	2470 RIVADAVIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 2470	BALVANERA	COMUNA 3	1034	C1034ACQ
479	-34.609773677	-58.4029664379	BBVA-BANCO FRANCES	BANELCO	AV.RIVADAVIA 2577	2577 RIVADAVIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 2577	BALVANERA	COMUNA 3	1034	C1034ACE
480	-34.6122001127	-58.4231458825	BBVA-BANCO FRANCES	BANELCO	AV.RIVADAVIA 4059	4059 RIVADAVIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 4059	ALMAGRO	COMUNA 5	1205	C1205AAA
481	-34.625228284	-58.4524810572	CITIBANK	BANELCO	AV.RIVADAVIA 6130	6130 RIVADAVIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 6130	CABALLITO	COMUNA 6	1406	C1406GLR
